Tite,Year,Certification,duration,genre,rating
Willy Wonka & the Chocolate Factory,2019,TV-MA,129,Action,7.4
Full House,2018,PG-13,133,Comedy,7.3
Sweet Magnolias,2014,R,45,Drama,7.7
True Story,1971,TV-PG,100,Family,7.8
La jefa,1987,G,22,Comedy,6.7
The Vault,2020,TV-G,,Drama,7.3
Pieces of a Woman,2021,TV-14,260,Crime,7.4
Nashville,2022,TV-MA,109,Drama,4.7
Footloose,2021,TV-MA,118,Action,6.4
Gerald's Game,2020,R,126,Drama,7
Charlie's Angels,2012,R,43,Drama,7.7
The Curse of Bridge Hollow,1984,TV-PG,107,Drama,6.6
Sense8,2017,PG,103,Drama,6.5
Travelers,2019,TV-MA,118,Action,4.9
Miraculous: Tales of Ladybug & Cat Noir,2015,,60,Drama,8.2
Texas Chainsaw Massacre,2016,TV-MA,45,Drama,8
Senior Year,2021,TV-MA,121,Drama,6.7
"Bastard!! Heavy Metal, Dark Fantasy",2015,R,20,Animation,7.6
Castlevania,2022,TV-Y7,81,Crime,4.8
Matilda,2022,R,111,Comedy,5.5
Step Brothers,2022,R,25,Animation,6.6
Castle Rock,2017,TV-MA,23,Animation,8.3
The Harder They Fall,2008,PG,98,Comedy,6.9
The OA,2018,R,60,Drama,7.5
Fear Street: Part One - 1994,2021,,139,Action,6.5
Birdman or (The Unexpected Virtue of Ignorance),2016,R,60,Drama,7.8
Moonlight,2016,TV-MA,94,Drama,5.5
Dirilis: Ertugrul,2021,Not Rated,107,Drama,6.2
National Lampoon's Animal House,2014,R,119,Comedy,7.7
Crash Landing on You,1991,R,84,Animation,8
Archive 81,2016,G,111,Drama,7.4
Trailer Park Boys,2014,R,120,Action,7.9
Misfits,1978,TV-14,109,Comedy,7.4
Ratched,2019,R,70,Adventure,8.7
GLOW,2022,TV-14,60,Drama,7.3
Skyggen i mit øje,2001,TV-MA,30,Comedy,8.6
Cowboy Bebop,2009,TV-MA,60,Comedy,8.2
Shooter,2020,TV-MA,60,Crime,7.2
Drifting Home,2017,TV-MA,35,Comedy,8
Keep Breathing,2021,TV-MA,107,Drama,7.3
